wave,degradation,level,parameter,post_mean,post_sd,ci_lo,ci_hi,ci_width
wave1,baseline,0,Beta1,0.5284160492618926,0.035022397677295224,0.4644648452778266,0.6017606198665374,0.13729577458871078
wave1,baseline,0,Beta2,0.13705098035032395,0.00723808488367524,0.12405495081983131,0.15223970827148692,0.028184757451655607
wave1,baseline,0,Beta3,0.17065699047510807,0.006520104552839003,0.15801457627129864,0.18408432091368088,0.026069744642382237
wave1,baseline,0,rho_y,0.07300834689715849,0.01402754724595522,0.04942372231657174,0.10287482181252733,0.05345109949595559
wave1,baseline,0,rho_o,0.35791185228124206,0.06854812863263138,0.2387890706220669,0.503270871055416,0.2644818004333491
wave1,systematic,0.1,Beta1,0.5214401152136775,0.03296395124746276,0.4634219686214296,0.5959090312257607,0.13248706260433107
wave1,systematic,0.1,Beta2,0.13708624040269016,0.007042502496010621,0.12413954803114129,0.15086148620506368,0.02672193817392239
wave1,systematic,0.1,Beta3,0.1703698716554531,0.006163079777741935,0.1582878049720182,0.18235658777048883,0.024068782798470634
wave1,systematic,0.1,rho_y,0.0685880789090514,0.01245815083025438,0.04662918120644167,0.09691856903847026,0.0502893878320286
wave1,systematic,0.1,rho_o,0.3370443247423768,0.06278438817529881,0.22614631062925275,0.47454678775191195,0.2484004771226592
wave1,systematic,0.3,Beta1,0.5113581612334255,0.03398161751493795,0.44841380907457257,0.5834315328890732,0.13501772381450067
wave1,systematic,0.3,Beta2,0.13762789553269272,0.007240758778455,0.12369142359278991,0.15160411887156475,0.027912695278774838
wave1,systematic,0.3,Beta3,0.16969207298672145,0.006526696587078572,0.15676036400853183,0.1828369807805528,0.026076616772020972
wave1,systematic,0.3,rho_y,0.05691599129741738,0.01165357663634429,0.038143413042774306,0.08487903946531077,0.04673562642253646
wave1,systematic,0.3,rho_o,0.2810367726513644,0.05663160158772797,0.18923124977782227,0.41115612377424965,0.22192487399642738
wave1,systematic,0.5,Beta1,0.5030030024274991,0.032062747262525254,0.44569666325709173,0.5667011414187764,0.12100447816168464
wave1,systematic,0.5,Beta2,0.13802814446975653,0.0069106222230586305,0.12492219502511928,0.15168446339597902,0.026762268370859738
wave1,systematic,0.5,Beta3,0.16944186895308147,0.006194807130773415,0.15726858457943482,0.1818806529879143,0.024612068408479487
wave1,systematic,0.5,rho_y,0.04256359724797108,0.008190312882659336,0.028535972938348114,0.060197019137208874,0.03166104619886076
wave1,systematic,0.5,rho_o,0.21095888094746,0.040933205041179956,0.13856657048972343,0.295623864805686,0.15705729431596255
wave1,stochastic,0.1,Beta1,0.5232726159958867,0.03176288032596179,0.4598093288957351,0.5881375340156626,0.12832820511992749
wave1,stochastic,0.1,Beta2,0.13718748023875205,0.007052301439943767,0.12408184752981077,0.15168302147027374,0.027601173940462964
wave1,stochastic,0.1,Beta3,0.17056073997854287,0.006390237155523508,0.1580274986512192,0.18332084285760314,0.025293344206383933
wave1,stochastic,0.1,rho_y,0.06718763907809525,0.012364197440381941,0.046452749976144056,0.09531613779900708,0.04886338782286302
wave1,stochastic,0.1,rho_o,0.33065865247410603,0.05879379100470757,0.2307951831750855,0.4610737682445668,0.23027858506948132
wave1,stochastic,0.3,Beta1,0.515019235014624,0.033889471124643876,0.44943527248809406,0.5841813154008304,0.13474604291273634
wave1,stochastic,0.3,Beta2,0.13679787463356005,0.0074015526436140185,0.12243024610561949,0.15211903083072215,0.029688784725102654
wave1,stochastic,0.3,Beta3,0.170732727686535,0.006425833222673619,0.15811175633039282,0.18316692826180006,0.025055171931407244
wave1,stochastic,0.3,rho_y,0.05582171548043248,0.01087201166519044,0.03776540532505626,0.07920673461702574,0.041441329291969475
wave1,stochastic,0.3,rho_o,0.2731590491804162,0.05403283160289353,0.18177357974689823,0.3983937427140665,0.2166201629671683
wave1,stochastic,0.5,Beta1,0.5105095987816295,0.03501909624984234,0.440097685723226,0.5862561383625795,0.1461584526393535
wave1,stochastic,0.5,Beta2,0.13751560910360874,0.007171154213000287,0.12437283010884094,0.15212533920405724,0.0277525090952163
wave1,stochastic,0.5,Beta3,0.17039609314086326,0.006170351904619882,0.15912446393617805,0.18279097242761824,0.023666508491440197
wave1,stochastic,0.5,rho_y,0.04094366814775795,0.00822021528748774,0.02710779421492506,0.06018990938414379,0.03308211516921873
wave1,stochastic,0.5,rho_o,0.20219668121828296,0.04282283675457844,0.1327018955150118,0.3033002978203233,0.1705984023053115
wave1,aggregate,2,Beta1,0.5178820948358924,0.038518267862211575,0.44482238967871035,0.5950036335904044,0.15018124391169407
wave1,aggregate,2,Beta2,0.1390341243740587,0.010134332782732023,0.12003883989178842,0.15871517920084974,0.03867633930906132
wave1,aggregate,2,Beta3,0.1705991559420871,0.010842216569776596,0.1503367432871234,0.19246826718316298,0.04213152389603958
wave1,aggregate,2,rho_y,0.07341577880475547,0.016616520280194374,0.04592545514491828,0.11031665963149459,0.06439120448657631
wave1,aggregate,2,rho_o,0.3828532641286834,0.08341522594489555,0.24048152782829674,0.5623930060976292,0.3219114782693325
wave1,aggregate,4,Beta1,0.5307444943278776,0.052330975155622954,0.4303054361311004,0.6408065090637797,0.21050107293267928
wave1,aggregate,4,Beta2,0.1344851666416592,0.014104435023614654,0.10950777360529995,0.16314846180554118,0.05364068820024123
wave1,aggregate,4,Beta3,0.18903704243195066,0.024654461508516107,0.1391443279177409,0.23631065343340613,0.09716632551566523
wave1,aggregate,4,rho_y,0.06430218813495699,0.021886772953809166,0.032032363842551606,0.11984022433208111,0.0878078604895295
wave1,aggregate,4,rho_o,0.39522397314488844,0.11259579546676321,0.2039839611559757,0.6168540944915553,0.41287013333557954
